"Phase","Formula","DeltaH","DeltaS","DeltaG","Volume","a","b","c","","","","",""
"H2OV","H₂O (gas)","-241.81","188.74","-228.57","24789.00","30.54","0.01029","0","","","","",""
"H2OL","H₂O (liquid)","-285.84","69.92","-237.18","18.10","29.75","0.03448","0","","","","",""
"CO₂","CO₂","-393.51","213.64","-394.39","24465.10","44.22","0.00879","861904","","","","",""
"Calcite","CaCO₂","-1207.30","92.68","-1130.10","36.93","104.52","0.02192","2594080","","","","",""
"Graphite","C (Grafito)","0","5,740","","5,298","","","","","","298","",""
"Diamond","C (Diamante)","1.86","2.37","","3,417","","","","","","500","",""
"Aragonite","CaCO₃","-1207.21","90.21","-1129.16","34.15","84.22","0.04284","1397456","","","-9.54","0.02385","-184096"
"alpha_Qz","SiO₂","-910.65","41.34","-856.24","22.69","46.94","0.03431","1129680","","","","",""
"beta_Qz","SiO₂","-910.25","41.82","-856.24","","60.29","0.00812","0","","","244.76211208054","",""
"Cristobalite","SiO₂","-853.1","43.4","-853.1","25.74","58.49","0.01397","1594104","","","","",""
"Coesite","SiO₂","-851.62","40.38","-851.62","20.64","46.02","0.00351","1129680","","","","",""
"Periclase","MgO","-601.66","26.94","-569.38","11.25","42.59","0.00728","619232","","","","",""
"Magnetite","Fe₃O₄","-11180.17","145.73","-1014.93","44.52","91.55","0.20167","0","","","","",""
"Tremolite","Ca₂Mg₅Si₈O₂₂(OH)₂","-12319.7","548.9","-11590.71","272.92","188.22","0.05729","4482200","","","","",""
"Chlorite","Mg₃Al(AlSi₃)O₁₀(OH)₂","-8857.38","465.26","-8207.77","207.11","696.64","0.17614","15667448","","","","",""
"Pargasite","NaCa₂(Mg₄Al)(Al₂Si₆)O₂₂(OH)₂","-12623.4","669.44","-11950.58","273.5","861.07","0.17431","21007864","","","","",""
"Phlogopite","KMg₃AlSi₃O₁₀(OH)₂","-6226.07","287.86","-5841.65","149.66","420.95","0.01204","8995600","","","","",""
"Jadeite","NaSi₂O₆","-3011.94","133.47","-2842.8","60.44","201.67","0.0477","4966408","","","","",""
"Diopside","MgCaSi₂O₆","-3202.34","143.09","-3029.22","66.09","221.67","0.0328","6585616","","-50.98","","",""
"Enstatite","MgSiO3","-1546.77","67.86","-1459.92","31.28","102.72","0.01983","2627552","","","","",""
"Forsterite","Mg2SiO4","-2175.68","95.19","-2056.7","43.79","149.83","0.02736","3564768","","","","",""
"Clinozoisite","Ca₂Al₃Si₃O12","-68798.42","295.56","-6482.02","136.2","787.52","0.1055","11357468","","","","",""
"Corundum","Al₂O₃","-1661.65","50.96","-1568.26","25.58","11.8","0.03506","3506192","","","","",""
"Gibbsite","Al(OH)₃","-1293.13","70.08","-1155.49","31.96","36.19","0.19079","0","","","","",""
"Albite","","-3921.02","210.04","-3708.31","100.07","258.15","0.05816","6280184","","","","",""
"Anorthite","","-4215.6","205.43","-3991.86","100.79","264.89","0.0619","7112800","","","","",""
"Spinel","","-2288.01","80.63","-2163.15","39.71","153.86","0.02684","4062246","","","","",""
"Grossular","","-6624.93","254.68","-6263.31","125.3","435.21","0.07117","11429851","","","","",""
"Kyanite","","-2581.1","83.68","-2426.91","44.09","173.18","0.02853","5389871","","","","",""
